name,ra,dec,nhi,nhi_err,vlsr_hi
2dFS_413,00:42:15.81,-73:24:32.9,3.2235472727092063,0.07933125443989233,2.040931665281762
2dFS_626,00:46:55.80,-73:06:14.6,3.1830320357032997,0.08677713788869305,0.8969969277946682
2dFS_662,00:47:45.58,-73:13:37.2,3.178870703963432,0.05988183361006328,1.161632441945611
2dFS_699,00:47:58.49,-72:31:41.8,3.52827036956206,0.04496452594890846,1.361339369953798
2dFS_3014,01:14:26.28,-73:17:13.5,2.4915235349077216,0.03506645682455403,0.01849386327116834
2dFS_3030,01:14:40.14,-73:16:14.5,2.3670530107593333,0.06900034721502167,-0.4664791062999182
2dFS_3171,01:16:09.19,-73:12:38.8,2.3682197055809007,0.06332586050912263,-0.6350443985998637
AzV_4,00:45:03.30,-72:41:57.4,3.498674094510423,0.035350754083785414,0.40451402901754613
AzV_23,00:47:38.91,-73:22:53.9,3.2080701480842233,0.06395065911419245,1.975204542186608
AzV_86,00:51:05.83,-72:00:30.6,3.156100517368122,0.02995988601431143,-0.20001462005078838
AzV_132,00:52:51.24,-73:06:53.6,3.1342840967908496,0.062014525023168676,1.4620393283491058
AzV_218,00:59:04.34,-72:19:40.8,3.1754881406006907,0.07063214643765861,0.38002045085870473
MR12_09,00:45:35.10,-73:18:36.0,3.1854664468307132,0.03224504421333285,1.3956817708327027
MR12_10,00:45:37.10,-73:18:40.0,3.183503124202362,0.03231765134605779,1.3956817708327027
MR12_11,00:45:34.49,-73:18:41.8,3.182962099305163,0.03202388872386379,1.3956817708327027
NGC330_ELS_110,00:56:20.67,-72:26:25.5,3.26282382971815,0.04424690188927866,0.48111066904103034
NGC330_ELS_114,00:56:57.0,-72:25:31.7,3.249641472314905,0.037664158787319296,0.39360543166223166
NGC330_ELS_116,00:55:26.5,-72:27:33.7,3.2726993376949,0.04623619637966354,0.7200604750622132
NGC346_ELS_056,00:58:56.1,-72:09:33.8,2.9428333190438747,0.06083251664638428,0.27199338207354334
SMC5-398,00:54:02.67,-72:25:40.8,3.3434894583105956,0.04619222163111148,0.6599422112422624
SMC5-3739,00:57:13.85,-72:22:30.1,3.1878206925814023,0.04311130034027474,0.8532245664842487
SMC5-79264,00:55:50.04,-72:19:23.7,3.208459410029612,0.03699594225210829,0.23005901966188763
SMC5-82923,00:53:26.17,-72:11:40.0,3.238111225912142,0.05193433660568386,0.751230805069394
AzV_18,00:47:12.22,-73:06:33.1,3.1786742062021447,0.08681318717986765,0.8969969277946682
AzV_70,00:50:18.12,-72:38:10.0,3.621210950665045,0.04760333244511992,3.507050039765394
AzV_214,00:58:54.78,-72:13:17.2,3.0185334585522905,0.06142113411270249,0.8432095228667785
AzV_289,01:01:58.78,-72:35:39.0,3.0207075456148678,0.03471279628028726,-0.22414183254040226
AzV_380,01:05:24.76,-73:03:53.0,2.5758213520124484,0.03646523915010233,0.6971926991794422
AzV_398,01:06:09.81,-71:56:00.7,2.9105030231004276,0.04971762016619734,0.9989381223510784
AzV_456,01:10:55.72,-72:42:56.1,2.666412174354366,0.030908169429683555,0.29696774372154777
AzV_462,01:11:25.92,-72:31:21.3,2.7658662474747624,0.02862796898385563,0.0111245135567908
BBB_SMC280,00:48:05.15,-73:12:03.6,3.1802219756579433,0.0608707002709897,1.161632441945611
SK_191,01:41:42.07,-73:50:38.2,3.4368129318703295,0.045826202036297864,1.1536569661068348
