#Star  Umin  Ubar  q_PAH  log(Sigma_d)  Omega_*
#2dFS0413    nan  nan  nan  nan  nan
2DFS0626    1.7  1.28  0.00872  -0.15  0.00071
2DFS0662    1.47  0.93  0.0123  -0.14  0.00209
#2dFS0699    nan  nan  nan  nan  nan
2DFS03014    0.797  -0.29  0.00946  -0.15  0.00193
2DFS3030    0.8  -0.555  0.0124  -0.15  0.00277
2DFS3171    0.437  -0.645  0.0126  -0.295  0.000807
#AzV4        nan  nan  nan  nan  nan
AZV23        0.747  1.11  0.0119  -0.3  0.00102
#AzV86        nan  nan  nan  nan  nan
AZV132      1.16  1.27  0.0146  -0.88  0.000467
AZV218      1.16  0.095  0.00893  -0.99  0.000488
#AzV404      nan  nan  nan  nan  nan
MR12-09      0.873  1.05  0.0139  0.0  0.00127
MR12-10      0.873  1.05  0.0139  0.0  0.00127
MR12-11      1.0  0.475  0.019  -0.15  0.00127
NGC330-110  3.47  0.995  0.00634  -1.42  0.000469
NGC330-114  0.833  0.265  0.00714  -0.48  0.000422
NGC330-116  1.61  0.265  0.0106  -0.955  0.000677
NGC346-056  3.72  1.6  0.0  -0.15  0.0224
SMC5-00398  3.7  0.905  0.00443  -1.66  0.000567
SMC5-03739  1.04  0.88  0.0107  -0.61  0.000752
SMC5-79264  1.21  0.135  0.00767  -0.455  0.000665
SMC5-82923  3.42  0.53  0.024  -1.55  0.000587
AZV18        2.37  1.27  0.00689  -0.25  0.00396
AZV70        2.28  1.05  0.0118  -1.38  0.00058
AZV151      2.51  1.05  0.00699  -1.25  0.000978
AZV214      1.61  1.09  0.00596  0.0  0.00326
#AzV289      nan  nan  nan  nan  nan
#AzV380      nan  nan  nan  nan  nan
AZV398      0.817  -0.375  0.00787  -0.47  0.00473
#AzV456      nan  nan  nan  nan  nan
#AzV462      nan  nan  nan  nan  nan
BBB-SMC280      1.0  1.1  0.0139  0.0  0.000461
#SK191        nan  nan  nan  nan  nan
