# name          ra           dec
Sk-68 140  05:38:57.1713887928   -68:56:53.151615708
Sk-68 155  05:42:54.9424084824   -68:56:54.480574752
Sk-69 228  05:37:09.1786759272   -69:20:19.507193642
Sk-69 256  05:39:55.7304859200   -69:16:25.889831940
Sk-69 265  05:40:48.8049243960   -69:16:51.205287720
Sk-69 270  05:41:20.3933761824   -69:05:07.273296276
Sk-69 279  05:41:44.6553703752   -69:35:14.905767516
Sk-69 280  05:41:48.9396288888   -69:17:52.388147364
Sk-70 116  05:49:02.8404797232   -70:02:30.130973592
Sk-66 19   04:55:53.951          -66:24:59.35       
Sk-66 88   05:25:37.2300651408   -66:14:29.278811328
Sk-67 2    04:47:04.4509965192   -67:06:53.121123648
Sk-68 23   05:00:49.4717504928   -68:07:09.733713888
Sk-68 26   05:01:32.2453117296   -68:10:42.937181508
Sk-68 129  05:36:26.7746241720   -68:57:32.036561136
Sk-69 108  05:19:51.8115702216   -69:53:08.524603608
Sk-69 206  05:35:35.9718223824   -69:07:06.552258708
Sk-69 210  05:36:03.7921076496   -69:01:30.109967868
Sk-69 213  04:53:06.6501256464   -69:44:38.857224552
