 star,  ebv,  ebv_unc, lognhi,  lognhi_unc,  rv,  rv_unc,  air, air_unc, x0, x0_unc, gamma, gamma_unc,  c1,  c1_unc,  c2,  c2_unc,  c3,  c3_unc,  c4,  c4_unc,  c5,   c5_unc, dummy
2DFS0413,     0.240490,    0.0573005,      21.9108,    0.0939468,      2.83426,      1.65358,      2.79879,,      4.75000,    0.0962502,     0.400000,     0.411946,     -2.90783,     0.746595,      1.90206,     0.432554,    0.0438503,     0.618817,    0.0947065,    0.0771592,      6.00908,     0.678115,
2DFS0626,     0.418216,    0.0400712,      22.1710,    0.0424185,      1.47305,     0.231327,      4.30640,,      4.62225,    0.0164814,     0.495184,    0.0603532,     -2.58709,     0.296022,      1.52518,     0.137862,     0.152997,    0.0393220,      0.00000,    0.0265715,      5.70761,     0.492226,
2DFS0662,     0.329071,    0.0480856,      22.1290,    0.0497399,      1.58235,     0.430679,      4.14445,,      4.64032,    0.0155341,     0.588221,    0.0494824,     -4.17094,     0.716708,      1.89974,     0.271711,     0.204627,    0.0398544,      0.00000,    0.0250669,      5.69977,     0.686326,
2DFS0699,     0.254230,    0.0343416,      22.1646,    0.0193302,      2.10345,     0.475709,      3.38288,,      4.60442,    0.0186729,      1.16086,     0.121953,     -4.61772,     0.728578,      2.02840,     0.282484,      1.02531,     0.212685,   0.00720753,    0.0290547,      6.43493,     0.474483,
2DFS3014,     0.246809,    0.0341148,      22.0400,     0.103974,      2.03058,     0.559040,      3.49002,,      4.60342,    0.0337096,     0.545496,    0.0627902,     -3.38321,     0.476406,      1.80997,     0.188106,     0.180696,    0.0679279,      0.00000,    0.0885781,      5.73926,     0.611032,
2DFS3030,     0.285094,    0.0347191,      22.0260,   0.00944619,      2.33039,     0.473975,      3.20376,,      4.67472,   0.00841968,     0.758455,    0.0365241,     -3.34140,     0.432701,      1.73470,     0.209325,     0.611564,    0.0792656,      0.00000,   0.00718806,      6.39864,     0.550660,
2DFS3171,     0.442673,    0.0453232,      21.9992,     0.180748,      2.00991,     0.268694,      3.48453,,      4.69362,    0.0234369,     0.802436,     0.105151,     -4.32465,     0.502391,      2.00036,     0.199384,     0.426426,     0.157507,     0.255511,    0.0489299,      5.00000,     0.147882,
AZV004,     0.333373,    0.0365822,      20.8404,     0.106764,      3.17583,     0.496723,      2.61080,,      4.75000,    0.0512303,      1.46015,     0.245537,    -0.698786,     0.385447,     0.923854,     0.133263,      2.49706,     0.683369,      0.00000,   0.00318775,      6.06077,     0.426914,
AZV018,     0.180415,   0.00745422,      22.0142,    0.0606828,      2.47135,     0.313782,      3.03515,,      4.65295,    0.0361467,     0.495758,     0.115615,     -3.88394,     0.468246,      1.92786,    0.0954044,     0.166417,    0.0855299,     0.222358,     0.109248,      6.16264,     0.582009,
AZV023,     0.225064,   0.00286971,      22.0417,   0.00995198,      2.91742,    0.0555817,      2.73316,,      4.64353,   0.00683767,      1.10490,    0.0311709,     -5.11246,    0.0745206,      2.25556,    0.0237116,      1.28757,    0.0852512,     0.144933,    0.0142355,      5.71393,     0.136546,
AZV070,    0.0673195,    0.0123291,      21.1257,    0.0564819,      2.52612,     0.700094,      3.08129,,      4.51172,    0.0310355,      1.02766,     0.185974,     -2.08019,     0.779990,      1.10361,     0.238635,      2.15443,      1.29128,      0.00000,    0.0628119,      6.04493,     0.630705,
AZV086,     0.133317,   0.00982058,      19.8008,    0.0365877,      2.87040,     0.309746,      2.84305,,      4.74243,    0.0234123,      1.18927,    0.0934209,     -3.35546,     0.237150,      1.69785,     0.109270,      1.62243,     0.273899,      0.00000,   0.00452326,      7.00000,     0.343475,
AZV132,     0.361662,    0.0117463,      21.8548,    0.0150138,      3.10000,  3.11506e-06,      2.66627,,      4.55848,    0.0429423,     0.829786,     0.143036,    -0.583086,    0.0929987,     0.871806,    0.0288362,     0.172382,    0.0999574,      0.00000,   0.00228893,      7.00000,     0.102626,
AZV214,     0.185369,   0.00788192,      21.6593,    0.0709487,      2.39655,     0.142049,      3.10910,,      4.61971,    0.0723701,     0.400000,     0.202493,     -3.23989,     0.369238,      1.64194,    0.0628045,    0.0608774,     0.102122,      0.00000,    0.0522852,      7.00000,     0.604470,
AZV218,     0.139726,    0.0309118,      21.6787,   0.00847313,      2.12047,     0.855437,      3.41243,,      4.75000,    0.0188725,      1.17028,     0.134186,     -4.72740,      1.18141,      2.10894,     0.480905,      1.42496,     0.282589,      0.00000,    0.0340539,      7.00000,     0.656662,
AZV289,    0.0991749,   0.00770209,      21.5238,    0.0171450,      2.64434,     0.423855,      2.95892,,      4.62850,     0.126077,     0.400000,     0.380210,     -1.90731,     0.252788,      1.42781,    0.0878062,      0.00000,     0.315699,      0.00000,    0.0353465,      7.00000,     0.295449,
AZV380,    0.0980828,   0.00760123,      21.6031,    0.0513962,      2.01310,     0.237104,      3.55227,,      4.75000,    0.0161513,     0.400000,    0.0582432,     -3.69398,     0.492830,      1.63074,     0.146917,     0.240939,    0.0831252,      0.00000,    0.0715205,      7.00000,     0.648470,
AZV393,     0.142590,   0.00750861,      21.0346,     0.436958,      3.10000,  3.11506e-06,      2.67846,,      4.75000,    0.0345976,      1.50000,     0.129184,     -3.32488,     0.709012,      1.49931,    0.0557388,      3.19620,     0.289772,    0.0209293,    0.0184895,      6.93948,    0.0441876,
AZV398,     0.353061,    0.0176014,      21.8735,      33.0497,      3.12031,     0.223906,      2.64051,,      4.56892,    0.0817142,     0.406897,     0.192792,     -4.31397,     0.841462,      2.06114,     0.188524,    0.0850060,     0.118961,     0.136122,     0.226537,      5.81053,     0.444575,
AZV404,    0.0980439,    0.0132765,      15.0000,      17.7711,      1.84395,     0.356235,      3.71750,,      4.75000,    0.0196977,      1.50000,     0.268719,     -2.27182,     0.947242,      1.56356,     0.157139,      4.03772,      1.40754,     0.348023,     0.187895,      7.00000,     0.138504,
AZV456,     0.331033,   0.00999888,      21.2909,      1.13317,      1.94955,    0.0917839,      3.54491,,      4.67213,    0.0105228,      1.35630,    0.0619500,     -1.47556,     0.143370,      1.10505,    0.0388105,      3.98757,     0.440553,     0.171273,    0.0813785,      6.66973,     0.257896,
AZV462,    0.0492161,    0.0109850,      16.1737,      2.19119,      1.25256,      1.13247,      4.93355,,      4.75000,    0.0928404,      1.33862,     0.384953,     -1.69711,      1.08313,      1.06790,     0.281440,      1.70116,     0.914044,     0.137609,     0.199284,      6.98586,     0.704220,
BBB_SMC_280,     0.221463,    0.0266002,      21.3694,     0.342470,      3.10000,  3.11506e-06,      2.68706,,      4.45000,    0.0431036,      1.50000,     0.188602,     -3.73131,     0.434128,      1.70178,     0.116526,      2.11251,     0.648773,     0.287429,     0.105325,      5.62085,     0.353509,
SMC5-000398,     0.166863,    0.0431212,      21.3453,    0.0801242,      1.52269,     0.952405,      4.18956,,      4.51895,    0.0316519,     0.849958,     0.119548,    -0.109119,     0.612125,      1.24272,     0.306577,     0.456338,     0.107933,     0.103707,    0.0467880,      6.60920,     0.293828,
SMC5-079264,     0.320468,    0.0336069,      22.0298,    0.0400177,      1.69118,     0.293918,      3.90118,,      4.65571,    0.0298787,     0.400000,    0.0704243,     -3.47181,     0.457174,      1.95392,     0.188541,    0.0456751,    0.0203954,    0.0912393,    0.0258067,      5.22365,     0.313255,
SMC5-082923,     0.131106,    0.0376337,      21.6504,    0.0158012,      3.10000,  3.11506e-06,      2.63956,,      4.55058,    0.0161963,     0.698540,    0.0766647,     -1.01748,     0.741204,      1.55402,     0.479274,     0.448100,     0.121766,     0.104855,    0.0420507,      5.92595,     0.398793,
NGC330-110,     0.204095,    0.0426502,      21.6309,    0.0183944,      3.10000,  3.11506e-06,      2.70945,,      4.59015,    0.0378949,     0.912034,     0.221250,     -1.30504,     0.377743,     0.891498,     0.168531,     0.254023,     0.145441,      0.00000,    0.0131161,      5.93984,     0.530639,
