# name          ra           dec
2dFS_413        00:42:15.81  -73:24:32.9 
2dFS_626        00:46:55.80  -73:06:14.6 
2dFS_662        00:47:45.58  -73:13:37.2 
2dFS_699        00:47:58.49  -72:31:41.8 
2dFS_3014       01:14:26.28  -73:17:13.5
2dFS_3030       01:14:40.14  -73:16:14.5
2dFS_3171       01:16:09.19  -73:12:38.8
AzV_4           00:45:03.30  -72:41:57.4 
AzV_23          00:47:38.91  -73:22:53.9 
AzV_86          00:51:05.83  -72:00:30.6 
AzV_132         00:52:51.24  -73:06:53.6 
AzV_218         00:59:04.34  -72:19:40.8 
MR12_09         00:45:35.10  -73:18:36.0
MR12_10         00:45:37.10  -73:18:40.0 
MR12_11         00:45:34.49  -73:18:41.8  
NGC330_ELS_110  00:56:20.67  -72:26:25.5 
NGC330_ELS_114  00:56:57.0   -72:25:31.7 
NGC330_ELS_116  00:55:26.5   -72:27:33.7 
NGC346_ELS_056  00:58:56.1   -72:09:33.8 
SMC5-398        00:54:02.67  -72:25:40.8 
SMC5-3739       00:57:13.85  -72:22:30.1
SMC5-79264      00:55:50.04  -72:19:23.7
SMC5-82923      00:53:26.17  -72:11:40.0 
AzV_18          00:47:12.22  -73:06:33.1 
AzV_70          00:50:18.12  -72:38:10.0 
AzV_214         00:58:54.78  -72:13:17.2 
AzV_289         01:01:58.78  -72:35:39.0 
AzV_380         01:05:24.76  -73:03:53.0 
AzV_398         01:06:09.81  -71:56:00.7 
AzV_456         01:10:55.72  -72:42:56.1
AzV_462         01:11:25.92  -72:31:21.3
BBB_280         00:48:05.15  -73:12:03.6 
SK_191          01:41:42.07  -73:50:38.2 
