# name          ra           dec
2dFS_413        00:42:15.81  -73:24:32.9 
2dFS_626        00:46:55.80  -73:06:14.6 
2dFS_662        00:47:45.58  -73:13:37.2 
2dFS_699        00:47:58.49  -72:31:41.8 
2dFS_3014       01:14:26.28  -73:17:13.5
2dFS_3171       01:16:09.19  -73:12:38.8
AzV_23          00:47:38.91  -73:22:53.9 
AzV_214         00:58:54.78  -72:13:17.2 
AzV_218         00:59:04.34  -72:19:40.8 
AzV_398         01:06:09.81  -71:56:00.7 
BBB_280         00:48:05.15  -73:12:03.6
MR12_09         00:45:35.10  -73:18:36.0
SMC5-398        00:54:02.67  -72:25:40.8 
SMC5-3739       00:57:13.85  -72:22:30.1
SMC5-79264      00:55:50.04  -72:19:23.7
